SEQ,Orig Filename,INST.1,INST.2,INST.#,INST.#.2,INST.3A,DESC,Dimension,Foto-ID,Farbskala
96,AIG454OSmitUK039,,AIG,0454,,,OSmitUK,,039,
97,AIG409OSmitUK1,,AIG,0409,,,OSmitUK,,001,
98,AIG356OSmitUK1,,AIG,0356,,,OSmitUK,,001,
99,AIG462OSmitUK1,,AIG,0462,,,OSmitUK,,001,
100,AIG441Farbskala,,AIG,0441,,,,,,Farbskala
101,AIG441OSohneUK019,,AIG,0441,,,OSohneUK,,019,
102,AIG387Farbskala,,AIG,0387,,,,,,Farbskala
103,AIG382Farbskala,,AIG,0382,,,,,,Farbskala
104,AIG382OSmitUK019,,AIG,0382,,,OSmitUK,,019,
105,AIG384Farbskala,,AIG,0384,,,,,,Farbskala
106,AIG384OSmitUK019,,AIG,0384,,,OSmitUK,,019,
107,AIG586Farbskala,,AIG,0586,,,,,,Farbskala
108,AIG586OSmitUK018,,AIG,0586,,,OSmitUK,,018,
109,Scolecopteris360Animationexternbearbeitet300dpi800pxB03sec,,,,,,Scolecopteris360Animationexternbearbeitet300dpi800pxB03sec,,,
110,Baumfarnoriginal300dpi1000pxB,,,,,,Baumfarnoriginal300dpi1000pxB,,,
111,BaumfarnOriginal300dpi800pxBAnimation03,,,,,,BaumfarnOriginal300dpi800pxBAnimation03,,,
112,GZGHST0500MammuthusprimigeniusFarbskala,GZG,HST,0500,,,Mammuthusprimigenius,,,Farbskala
113,GZGHST0500MammuthusprimigeniusFarbskala,GZG,HST,0500,,,Mammuthusprimigenius,,,Farbskala
114,GZGHST0500Mammuthusprimigenius,GZG,HST,0500,,,Mammuthusprimigenius,,,
115,GZGHST0501Mammuthusprimigenius,GZG,HST,0501,,,Mammuthusprimigenius,,,
116,GZGHST0501Mammuthusprimigenius,GZG,HST,0501,,,Mammuthusprimigenius,,,
117,GZGHST0501Mammuthusprimigenius,GZG,HST,0501,,,Mammuthusprimigenius,,,
118,GZGHST0029Eisenmeteorit,GZG,HST,0029,,,Eisenmeteorit,,,
119,GZGHST0029EisenmeteoritFarbskala,GZG,HST,0029,,,Eisenmeteorit,,,Farbskala
120,GZGHST0029EisenmeteoritFarbskala,GZG,HST,0029,,,Eisenmeteorit,,,Farbskala
121,GZGHST0426SchriftgranitFarbskala,GZG,HST,0426,,,Schriftgranit,,,Farbskala
122,GZGHST0426Schriftgranit,GZG,HST,0426,,,Schriftgranit,,,
123,GZGHST0426SchriftgranitFarbskala,GZG,HST,0426,,,Schriftgranit,,,Farbskala
124,AIG612Farbskala,,AIG,0612,,,,,,Farbskala
125,AIG612OSmitUK001,,AIG,0612,,,OSmitUK,,001,
126,AIG612OSmitUK005,,AIG,0612,,,OSmitUK,,005,
127,AIG612OSmitUK011,,AIG,0612,,,OSmitUK,,011,
128,AIG612OSmitUK017,,AIG,0612,,,OSmitUK,,017,
129,AIG612OSmitUK081,,AIG,0612,,,OSmitUK,,081,
130,AIG612OSmitUK039,,AIG,0612,,,OSmitUK,,039,
131,AIG612OSmitUK,,AIG,0612,,,OSmitUK,,,
132,AIG356OSmitUK,,AIG,0356,,,OSmitUK,,,
133,AIG356OSmitUK1,,AIG,0356,,,OSmitUK,,001,
134,AIG356OSmitUK11,,AIG,0356,,,OSmitUK,,011,
135,AIG356OSmitUK17,,AIG,0356,,,OSmitUK,,017,
136,AIG356OSmitUK5,,AIG,0356,,,OSmitUK,,005,
137,AIG356OSmitUK81,,AIG,0356,,,OSmitUK,,081,
138,AIG384OSmitUK001,,AIG,0384,,,OSmitUK,,001,
139,AIG384OSmitUK005,,AIG,0384,,,OSmitUK,,005,
140,AIG384OSmitUK011,,AIG,0384,,,OSmitUK,,011,
141,AIG384OSmitUK017,,AIG,0384,,,OSmitUK,,017,
142,AIG384OSmitUK081,,AIG,0384,,,OSmitUK,,081,
143,AIG384OSmitUK,,AIG,0384,,,OSmitUK,,,
144,AIG409OSmitUK1,,AIG,0409,,,OSmitUK,,001,
145,AIG409OSmitUK11,,AIG,0409,,,OSmitUK,,011,
146,AIG409OSmitUK17,,AIG,0409,,,OSmitUK,,017,
147,AIG409OSmitUK5,,AIG,0409,,,OSmitUK,,005,
148,I594040AIG409OSmitUK17,,I594040AIG,0409,,,OSmitUK,,017,
149,I594040AIG409OSmitUK17,,I594040AIG,0409,,,OSmitUK,,017,
150,AIG409OSmitUK81,,AIG,0409,,,OSmitUK,,081,
151,AIG409OSmitUK,,AIG,0409,,,OSmitUK,,,
152,AIG409OSmitUK39,,AIG,0409,,,OSmitUK,,039,
153,AIG441OSohneUK,,AIG,0441,,,OSohneUK,,,
154,AIG441OSohneUK001,,AIG,0441,,,OSohneUK,,001,
155,AIG441OSohneUK005,,AIG,0441,,,OSohneUK,,005,
156,AIG441OSohneUK011,,AIG,0441,,,OSohneUK,,011,
157,AIG441OSohneUK017,,AIG,0441,,,OSohneUK,,017,
158,AIG441OSohneUK081,,AIG,0441,,,OSohneUK,,081,
159,AIG441OSohneUK039,,AIG,0441,,,OSohneUK,,039,
160,AIG441OSohneUK039,,AIG,0441,,,OSohneUK,,039,
161,AIG454OSmitUK,,AIG,0454,,,OSmitUK,,,
162,AIG454OSmitUK001,,AIG,0454,,,OSmitUK,,001,
163,AIG454OSmitUK005,,AIG,0454,,,OSmitUK,,005,
164,AIG454OSmitUK011,,AIG,0454,,,OSmitUK,,011,
165,AIG454OSmitUK017,,AIG,0454,,,OSmitUK,,017,
166,AIG454OSmitUK081,,AIG,0454,,,OSmitUK,,081,
167,AIG454OSmitUK039,,AIG,0454,,,OSmitUK,,039,
168,AIG454OSmitUK039,,AIG,0454,,,OSmitUK,,039,
169,AIG462OSmitUK,,AIG,0462,,,OSmitUK,,,
170,AIG462OSmitUK1,,AIG,0462,,,OSmitUK,,001,
171,AIG462OSmitUK11,,AIG,0462,,,OSmitUK,,011,
172,AIG462OSmitUK17,,AIG,0462,,,OSmitUK,,017,
173,AIG462OSmitUK5,,AIG,0462,,,OSmitUK,,005,
174,AIG462OSmitUK81,,AIG,0462,,,OSmitUK,,081,
175,AIG462OSmitUK3,,AIG,0462,,,OSmitUK,,003,
176,AIG462OSmitUK39,,AIG,0462,,,OSmitUK,,039,
177,AIG462OSmitUK39,,AIG,0462,,,OSmitUK,,039,
178,AIG462OSmitUK39,,AIG,0462,,,OSmitUK,,039,
179,AIG463OSmitUK,,AIG,0463,,,OSmitUK,,,
180,AIG463OSmitUK001,,AIG,0463,,,OSmitUK,,001,
181,AIG463OSmitUK005,,AIG,0463,,,OSmitUK,,005,
182,AIG463OSmitUK011,,AIG,0463,,,OSmitUK,,011,
