IS EQUAL,,Disk,Database,ID,part id,Original Filename,PREFIX.1,PREFIX.2,FILENAME,UNIX TIMESTAMP,SUFFIX.1,SUFFIX.2,MIMETYPE,TIMESTAMP
TRUE,fuploadtxbolonlinePartII,25419600GZGHST05712D23134855696883.79.JPG,25419600GZGHST05712D23134855696883.79.JPG,1966,254,fuploadtxbolonlinePartII25419600GZGHST05712D23134855696883.79.JPG,fuploadtxbolonline,PartII25419600,GZGHST05712D23,1348556968,83,79,JPG,25/09/2012  07:09:28
TRUE,fuploadtxbolonlinePartI,20219600GZGHST05712D02134855707220.44.JPG,20219600GZGHST05712D02134855707220.44.JPG,250,202,fuploadtxbolonlinePartI20219600GZGHST05712D02134855707220.44.JPG,fuploadtxbolonline,PartI20219600,GZGHST05712D02,1348557072,20,44,JPG,25/09/2012  07:11:12
TRUE,fuploadtxbolonlinePartIII,24719600GZGHST05712D02134855716207.04.JPG,24719600GZGHST05712D02134855716207.04.JPG,254,247,fuploadtxbolonlinePartIII24719600GZGHST05712D02134855716207.04.JPG,fuploadtxbolonline,PartIII24719600,GZGHST05712D02,1348557162,7,4,JPG,25/09/2012  07:12:42
TRUE,fuploadtxbolonlinePartIII,24719610GZGHST05712D03134855716238.5.JPG,24719610GZGHST05712D03134855716238.5.JPG,255,247,fuploadtxbolonlinePartIII24719610GZGHST05712D03134855716238.5.JPG,fuploadtxbolonline,PartIII24719610,GZGHST05712D03,1348557162,38,5,JPG,25/09/2012  07:12:42
TRUE,fuploadtxbolonlinePartIII,73819601GZGHST05712D17134855720281.33.JPG,73819601GZGHST05712D17134855720281.33.JPG,256,738,fuploadtxbolonlinePartIII73819601GZGHST05712D17134855720281.33.JPG,fuploadtxbolonline,PartIII73819601,GZGHST05712D17,1348557202,81,33,JPG,25/09/2012  07:13:22
TRUE,fuploadtxbolonlineKerndaten,1950GZGHST05702D08134856124988.18.JPG,1950GZGHST05702D08134856124988.18.JPG,727,195,fuploadtxbolonlineKerndaten1950GZGHST05702D08134856124988.18.JPG,fuploadtxbolonline,Kerndaten1950,GZGHST05702D08,1348561249,88,18,JPG,25/09/2012  08:20:49
TRUE,fuploadtxbolonlinePartII,25319510GZGHST05702D06134856131667.47.JPG,25319510GZGHST05702D06134856131667.47.JPG,1969,253,fuploadtxbolonlinePartII25319510GZGHST05702D06134856131667.47.JPG,fuploadtxbolonline,PartII25319510,GZGHST05702D06,1348561316,67,47,JPG,25/09/2012  08:21:56
TRUE,fuploadtxbolonlinePartII,25319520GZGHST05702D07134856131685.46.JPG,25319520GZGHST05702D07134856131685.46.JPG,1970,253,fuploadtxbolonlinePartII25319520GZGHST05702D07134856131685.46.JPG,fuploadtxbolonline,PartII25319520,GZGHST05702D07,1348561316,85,46,JPG,25/09/2012  08:21:56
TRUE,fuploadtxbolonlinePartII,25319500GZGHST05702D08134856131643.12.JPG,25319500GZGHST05702D08134856131643.12.JPG,1968,253,fuploadtxbolonlinePartII25319500GZGHST05702D08134856131643.12.JPG,fuploadtxbolonline,PartII25319500,GZGHST05702D08,1348561316,43,12,JPG,25/09/2012  08:21:56
TRUE,fuploadtxbolonlinePartI,20119500GZGHST05702D02134856135266.89.JPG,20119500GZGHST05702D02134856135266.89.JPG,251,201,fuploadtxbolonlinePartI20119500GZGHST05702D02134856135266.89.JPG,fuploadtxbolonline,PartI20119500,GZGHST05702D02,1348561352,66,89,JPG,25/09/2012  08:22:32
TRUE,fuploadtxbolonlinePartIII,24519500GZGHST05702D02134856142883.32.JPG,24519500GZGHST05702D02134856142883.32.JPG,257,245,fuploadtxbolonlinePartIII24519500GZGHST05702D02134856142883.32.JPG,fuploadtxbolonline,PartIII24519500,GZGHST05702D02,1348561428,83,32,JPG,25/09/2012  08:23:48
TRUE,fuploadtxbolonlinePartIII,24619501GZGHST05702D12134856142903.77.JPG,24619501GZGHST05702D12134856142903.77.JPG,258,246,fuploadtxbolonlinePartIII24619501GZGHST05702D12134856142903.77.JPG,fuploadtxbolonline,PartIII24619501,GZGHST05702D12,1348561429,3,77,JPG,25/09/2012  08:23:49
TRUE,fuploadtxbolonlinePartII,76263340AIG526Detail1134862684579.69.JPG,76263340AIG526Detail1134862684579.69.JPG,1975,762,fuploadtxbolonlinePartII76263340AIG526Detail1134862684579.69.JPG,fuploadtxbolonline,PartII76263340,AIG526Detail1,1348626845,79,69,JPG,26/09/2012  02:34:05
TRUE,fuploadtxbolonlinePartII,76263300AIG526Detail2134862689096.16.JPG,76263300AIG526Detail2134862689096.16.JPG,1976,762,fuploadtxbolonlinePartII76263300AIG526Detail2134862689096.16.JPG,fuploadtxbolonline,PartII76263300,AIG526Detail2,1348626890,96,16,JPG,26/09/2012  02:34:50
TRUE,fuploadtxbolonlinePartII,76263310AIG526Detail3134862689116.23.JPG,76263310AIG526Detail3134862689116.23.JPG,1977,762,fuploadtxbolonlinePartII76263310AIG526Detail3134862689116.23.JPG,fuploadtxbolonline,PartII76263310,AIG526Detail3,1348626891,16,23,JPG,26/09/2012  02:34:51
TRUE,fuploadtxbolonlinePartI,71463300AIG526Detail2134862707033.JPG,71463300AIG526Detail2134862707033.JPG,252,714,fuploadtxbolonlinePartI71463300AIG526Detail2134862707033.JPG,fuploadtxbolonline,PartI71463300,AIG526Detail2,1348627070,33,,JPG,26/09/2012  02:37:50
